accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.5833333333333334,0.5413224387850968,0.552332704940918,fre_strat,2.2127225399017334,500,1
0.6637362637362637,0.6252480455656378,0.6328534662836793,fre_strat,27.042999029159546,1000,0
0.6739846322722283,0.6323365011844275,0.6430649785725163,fre_strat,29.280699729919434,1500,0
0.668859649122807,0.6276513870826396,0.6471454410070637,fre_strat,32.03050136566162,2000,0
0.6743421052631579,0.628496665043965,0.6514458567713486,fre_strat,34.543306827545166,2500,0
0.6699561403508771,0.6268851187962639,0.6435520168128053,fre_strat,37.34980607032776,3000,1
0.7456140350877193,0.7086899208710775,0.7351878672214556,fre_strat,67.49301195144653,3500,0
0.75,0.711965166626216,0.7410524642181151,fre_strat,70.5434181690216,4000,0
0.7478070175438597,0.7166527684834847,0.7349199826382848,fre_strat,74.23441576957703,4500,0
0.75,0.717351004882602,0.7361203103270503,fre_strat,77.6258647441864,5000,0
0.7368421052631579,0.7082815915944985,0.721994081368751,fre_strat,81.21758723258972,5500,1
0.7774122807017544,0.7514809561688152,0.7805043901190027,fre_strat,129.98589205741882,6000,0
0.7839912280701754,0.75741257635934,0.7882420680416503,fre_strat,133.8536036014557,6500,0
0.7817982456140351,0.7542739064416583,0.7860791790689511,fre_strat,137.96150040626526,7000,0
0.7894736842105263,0.7564073360147661,0.7948186115155262,fre_strat,142.30296730995178,7500,0
0.7861842105263158,0.7525378096519422,0.7911342964901291,fre_strat,147.28095030784607,8000,1
0.7741228070175439,0.7480745334498685,0.7673348868646851,fre_strat,211.75915598869324,8210,0
