accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.38839285714285715,0.15718571800798314,0.14487345506086627,,7.340411424636841,500,1
0.25674255691768827,0.06997770999597126,0.11945483299517198,,57.162450551986694,1000,0
0.25542168674698795,0.06595923074050503,0.12098275449251686,,65.8216438293457,1500,0
0.25773195876288657,0.06347515675617503,0.12934150090535274,,74.7134850025177,2000,0
0.2603021978021978,0.060535061405234285,0.13065768583677628,,83.74261951446533,2500,0
0.2657967032967033,0.05826665074993218,0.12054744370165223,,93.08934450149536,3000,1
0.2706043956043956,0.05940328702398544,0.12113055281164188,,147.16672325134277,3500,0
0.270260989010989,0.058070541852794644,0.11995571776958519,,157.85313320159912,4000,0
0.270260989010989,0.058749025134450655,0.12572143327048987,,168.99684977531433,4500,0
0.2757554945054945,0.05973701069816663,0.12475129977748868,,179.7199809551239,5000,0
