accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.6107456140350878,0.5551340591678745,0.5673635345410114,,1.8698811531066895,500,1
0.7017543859649122,0.6417646723070527,0.6609990020082374,,28.4131498336792,1000,0
0.7050438596491229,0.6446863743104011,0.6667913456025624,,30.851221084594727,1500,0
0.7160087719298246,0.6524161166728464,0.6788325167708417,,33.51899313926697,2000,0
0.7236842105263158,0.6561035583869843,0.6834693806880051,,36.32042956352234,2500,0
0.7269736842105263,0.6605641644475904,0.6928226893355848,,39.270348072052,3000,1
0.7839912280701754,0.739789539443377,0.7658649857238243,,73.48970246315002,3500,0
0.7839912280701754,0.7405623712093122,0.7656166295396525,,77.1698100566864,4000,0
0.7916666666666666,0.7490064830732239,0.7738129706216276,,80.66025066375732,4500,0
0.7883771929824561,0.7485426186222627,0.772819039531637,,84.27663946151733,5000,0
0.7883771929824561,0.7474630487297895,0.7745292184603284,,88.44989919662476,5500,1
0.7905701754385965,0.7504345569150909,0.7777049567810759,,135.60157012939453,6000,0
0.7949561403508771,0.7576859675733981,0.7813266278907849,,139.89945769309998,6500,0
0.7960526315789473,0.757505263985798,0.7836637796826468,,144.3037121295929,7000,0
0.7949561403508771,0.7493462095931507,0.7858953221880718,,150.28677368164062,7500,0
0.7949561403508771,0.7478593409062819,0.7845285922414111,,154.96134400367737,8000,1
0.8081140350877193,0.7628571184593431,0.8019306361377101,,209.66735100746155,8210,0
