accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.39747939893359185,0.2888756802371396,0.28171332902337076,fre_strat,5.913418769836426,500,1
0.32915831663326656,0.24090450880139097,0.27230597712807136,fre_strat,40.41089701652527,1000,0
0.34886025768087214,0.2917994882416255,0.34112578127680926,fre_strat,47.02190852165222,1500,0
0.3561239547466798,0.3081459604024115,0.38188720664284875,fre_strat,53.562060832977295,2000,0
0.36470014627011216,0.32895756172976176,0.39269206473455587,fre_strat,60.66052174568176,2500,0
0.3699029126213592,0.33505901643151287,0.41178354300242875,fre_strat,68.26311254501343,3000,1
0.38427947598253276,0.3695302303021445,0.4622413203668098,fre_strat,106.03415393829346,3500,0
0.3947623666343356,0.37105499847008144,0.4879918097494082,fre_strat,113.91834235191345,4000,0
0.4064015518913676,0.38997082176079273,0.5180970513944724,fre_strat,121.845290184021,4500,0
0.4105671352399418,0.4062700880337088,0.524156987245356,fre_strat,129.65556240081787,5000,0
0.41977702375181775,0.42239845151861,0.5459933113191556,fre_strat,138.6434290409088,5500,1
0.42365487154629183,0.38354722940841657,0.5341741373488486,fre_strat,180.76677179336548,6000,0
0.433349491032477,0.4000373654653338,0.5425669085879257,fre_strat,189.80743741989136,6500,0
0.43819680077556955,0.4064876406979993,0.560200243200642,fre_strat,198.55807375907898,7000,0
0.4391662627241881,0.4097366105750896,0.5689261552198458,fre_strat,208.10293769836426,7500,0
0.44643722733882696,0.4103117577130304,0.5593425986140741,fre_strat,217.58197021484375,8000,1
0.4357731459040233,0.4005996066011062,0.5617366925786801,fre_strat,260.4353964328766,8500,0
0.44207464857004364,0.40162321102555404,0.5538800311138296,fre_strat,270.41825461387634,9000,0
0.44643722733882696,0.39936070027687604,0.5454376711484368,fre_strat,280.33363914489746,9500,0
0.4527387300048473,0.4038711374866246,0.5472000790892598,fre_strat,290.82367849349976,10000,0
0.4595249636451769,0.40001621602303844,0.5443030320975588,fre_strat,301.6412754058838,10500,0
0.4701890450799806,0.40233754866457083,0.5478065215221003,fre_strat,312.4226384162903,11000,0
0.46970431410567137,0.40188514558183863,0.5484987455295027,fre_strat,325.09664154052734,11500,0
0.4769752787203102,0.4040623245158081,0.5511886286726463,fre_strat,340.592139005661,12000,0
0.478429471643238,0.39789831675425125,0.5487173492001488,fre_strat,352.5719909667969,12500,0
0.48376151236063986,0.39542578119697236,0.547002120140525,fre_strat,364.659827709198,13000,0
0.4881240911294232,0.3958031550141401,0.5509010037443552,fre_strat,377.2599184513092,13500,0
0.4958797867183713,0.3945351469238736,0.5527718787308297,fre_strat,390.643164396286,14000,0
0.4963645176926806,0.39341058937901713,0.5535824711297833,fre_strat,403.42490434646606,14500,0
0.49781871061560834,0.39115978122081346,0.5477305487945759,fre_strat,416.82455348968506,15000,0
0.5026660203587009,0.3847582634565714,0.5416974654451273,fre_strat,430.4355540275574,15500,0
0.5070285991274842,0.3850575751894267,0.5413190166848811,fre_strat,445.5060443878174,16000,0
0.5036354823073195,0.38424986351096224,0.5440801177358567,fre_strat,460.4724586009979,16500,0
0.5002423654871546,0.38021642557671836,0.542091953441708,fre_strat,474.25901651382446,17000,0
0.5012118274357732,0.38081303050178145,0.5434262547400576,fre_strat,488.47272753715515,17500,0
0.4997576345128454,0.3781768679336376,0.5388372692265359,fre_strat,502.87592601776123,18000,0
