accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.6282894736842105,0.5702035676489439,0.5857211841737289,,1.919454574584961,500,1
0.7280701754385965,0.6623390078850482,0.6888503845721016,,25.715328454971313,1000,0
0.7379385964912281,0.6673046781141468,0.7137575744679765,,28.48149561882019,1500,0
0.7368421052631579,0.6659688525689755,0.7088006111056364,,31.020956993103027,2000,0
0.7379385964912281,0.6638253618327893,0.7196406984359347,,34.08826470375061,2500,0
0.7379385964912281,0.6647509301077672,0.7240815433987009,,37.415796518325806,3000,1
0.7401315789473685,0.6693201083635171,0.722418158026214,,76.78597354888916,3500,0
0.7423245614035088,0.6735087048547452,0.7268549747703437,,81.9649338722229,4000,0
0.7357456140350878,0.6648123529937844,0.7239341675681109,,86.55452227592468,4500,0
0.7379385964912281,0.6637265177599904,0.7245640095471024,,91.47866606712341,5000,0
0.7401315789473685,0.6642126123507579,0.7237752729781342,,96.93088150024414,5500,1
0.7993421052631579,0.7523234092027009,0.7943168772370809,,143.49278354644775,6000,0
0.7971491228070176,0.7512567425360341,0.7897563613274148,,147.67928552627563,6500,0
0.7960526315789473,0.7518940929213432,0.7885809632963254,,152.82203483581543,7000,0
0.7971491228070176,0.7518153847873721,0.7915951263134362,,158.17631435394287,7500,0
0.7949561403508771,0.748608606477962,0.7879555263907796,,164.43132853507996,8000,1
0.7927631578947368,0.744018763880815,0.786077349952886,,227.79101967811584,8210,0
