accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.3795443528841493,0.2621372498440695,0.27536378024358243,fre_strat,5.464696407318115,500,1
0.3168805528134255,0.2322114563836813,0.3120007195989053,fre_strat,40.93249821662903,1000,0
0.3391812865497076,0.2646063334400745,0.399301172140664,fre_strat,47.54253172874451,1500,0
0.3245997088791849,0.2628550422835663,0.4202989929509992,fre_strat,54.11846613883972,2000,0
0.3315559864275327,0.2813897560876997,0.46585986588341843,fre_strat,61.03226852416992,2500,0
0.3325254483761512,0.28142565110450046,0.4710033729897561,fre_strat,68.82589340209961,3000,1
0.2956858943286476,0.2670328823889991,0.448499080117175,fre_strat,107.25222682952881,3500,0
0.29956374212312165,0.27216977592276864,0.4586748273522287,fre_strat,115.19319701194763,4000,0
0.30441105186621426,0.27833484449539975,0.46486827957304183,fre_strat,123.33965110778809,4500,0
0.3141056713523994,0.28078557328889103,0.4511614734432897,fre_strat,131.47094655036926,5000,0
0.317014057198255,0.2802539930752701,0.44835976492016083,fre_strat,139.3820080757141,5500,1
0.317014057198255,0.27590844262745,0.44866251337516033,fre_strat,177.49501490592957,6000,0
0.32622394571013086,0.2782611557293947,0.4418428407576615,fre_strat,185.94134950637817,6500,0
0.33349491032476974,0.2737732909469256,0.43995969611485786,fre_strat,195.1284794807434,7000,0
0.347067377605429,0.2776437866684696,0.43963810141172954,fre_strat,204.46710801124573,7500,0
0.3572467280659234,0.27727269076316297,0.43777437607169656,fre_strat,213.8407757282257,8000,1
0.3587009209888512,0.2761249515881855,0.4400090819509824,fre_strat,255.15334486961365,8500,0
0.36694134755210855,0.27234152367782205,0.4339314622142388,fre_strat,264.8084189891815,9000,0
0.3688802714493456,0.27178918448083134,0.4291621806937099,fre_strat,275.06108474731445,9500,0
0.37130392632089193,0.26983493151381466,0.4317859322062597,fre_strat,286.0819339752197,10000,0
0.37130392632089193,0.26759586386643086,0.4264528379884473,fre_strat,296.66197395324707,10500,0
0.3761512360639845,0.26423649579299363,0.42235906325082306,fre_strat,308.2196822166443,11000,0
0.377120698012603,0.26321150104697755,0.42072668026572446,fre_strat,319.5475203990936,11500,0
0.37760542898691224,0.25930070696753554,0.4143825534970099,fre_strat,331.18456387519836,12000,0
0.3848763936015511,0.25853720093612387,0.41548487554498525,fre_strat,342.78073954582214,12500,0
0.38245273873000485,0.25693529274451177,0.4099943576532206,fre_strat,354.74452328681946,13000,0
0.37905962190984005,0.2554562195617497,0.40606675272965365,fre_strat,366.91056084632874,13500,0
0.3693650024236549,0.24831342039760998,0.40195994765161064,fre_strat,379.33467149734497,14000,0
0.3645176926805623,0.24420472078408345,0.4052824969252991,fre_strat,391.68481254577637,14500,0
0.362094037809016,0.24199957630863672,0.4067112264549119,fre_strat,405.44874238967896,15000,0
0.35918565196316043,0.24143005857213867,0.4038313603757323,fre_strat,418.7769627571106,15500,0
0.3543383422200679,0.23656907278000236,0.3956446873093922,fre_strat,432.9972195625305,16000,0
0.35191468734852155,0.23907559795734107,0.39313462787577763,fre_strat,446.4852440357208,16500,0
0.350945225399903,0.2372814189768251,0.39556699211022933,fre_strat,460.41332817077637,17000,0
0.3465826466311197,0.234803932630196,0.4030778887642998,fre_strat,474.5771279335022,17500,0
0.3431895298109549,0.23325462228195334,0.4010724160158604,fre_strat,489.71160078048706,18000,0
0.34125060591371786,0.23534436415101745,0.40788510617492585,fre_strat,504.3786222934723,18500,0
0.34125060591371786,0.23539260541939527,0.4076834650899023,fre_strat,522.0808899402618,18574,0
