accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.3330101793504605,0.19815379080902001,0.2240326847522411,fre_strat,5.827490329742432,500,1
0.2645320197044335,0.14151366633620696,0.2053316118147681,fre_strat,39.32613396644592,1000,0
0.2538910505836576,0.13691059619471982,0.22110162767435101,fre_strat,45.52112555503845,1500,0
0.2516973811833172,0.13606285036024188,0.24829610567056679,fre_strat,52.387773513793945,2000,0
0.2617547261269995,0.15076382833369073,0.2627605934630372,fre_strat,59.47616624832153,2500,0
0.2680562287930199,0.15472029121966507,0.26702524848150183,fre_strat,66.36177968978882,3000,1
0.27290353853611243,0.15949278370111916,0.273580365226147,fre_strat,99.73168301582336,3500,0
0.2796897721764421,0.1560357320711175,0.2715114694972569,fre_strat,107.25526785850525,4000,0
0.28889966068831796,0.15621038835165596,0.2637533266027586,fre_strat,114.67468309402466,4500,0
0.28938439166262725,0.15934068352093408,0.26004878116003505,fre_strat,122.80461812019348,5000,0
0.2985942801745031,0.15743797207277632,0.25031160097490157,fre_strat,130.63635396957397,5500,1
0.3029568589432865,0.1500401332690376,0.2448206932712689,fre_strat,167.87501764297485,6000,0
0.29956374212312165,0.14545693861764883,0.24122460991558983,fre_strat,176.17111897468567,6500,0
0.30780416868637905,0.1416323425555263,0.22436264554581586,fre_strat,184.96186876296997,7000,0
0.31168201648085314,0.14044433064876946,0.219018354387818,fre_strat,193.68940258026123,7500,0
0.3155598642753272,0.1384089692388226,0.21910398419454347,fre_strat,203.08392024040222,8000,1
0.2942317014057198,0.12957153538639615,0.21616306707109065,fre_strat,245.978919506073,8500,0
0.2913233155598643,0.1265741814225237,0.20923751715447092,fre_strat,255.94435000419617,9000,0
0.2947164323800291,0.125206656571575,0.2047170418902542,fre_strat,265.7898225784302,9500,0
0.30053320407174017,0.12389068816725474,0.20411337662472384,fre_strat,276.30156350135803,10000,0
0.2981095492001939,0.12212353631485842,0.2015982685646067,fre_strat,286.63422894477844,10500,0
0.29665535627726614,0.12093041853505822,0.19927058396457678,fre_strat,297.67598032951355,11000,0
0.2956858943286476,0.12049061149777275,0.1994613397177416,fre_strat,308.8305809497833,11500,0
0.28453708191953464,0.11776333595400165,0.1913706669444519,fre_strat,319.79818654060364,12000,0
0.2801745031507513,0.1172318739682457,0.19176437589564985,fre_strat,331.39922165870667,12500,0
0.27435773145904024,0.11541584879153848,0.19301556450563542,fre_strat,342.8568823337555,13000,0
0.2617547261269995,0.10964765961667185,0.18120875906454909,fre_strat,354.94813418388367,13500,0
0.2549684924866699,0.10760785202359921,0.18264699780697274,fre_strat,367.2698509693146,14000,0
0.2481822588463403,0.10407864558455769,0.1807475557130082,fre_strat,379.45048093795776,14500,0
0.24188075618031993,0.09847480349752413,0.17211149207207785,fre_strat,392.35899114608765,15000,0
0.23557925351429956,0.09587443426855345,0.17094082263598362,fre_strat,405.3726189136505,15500,0
0.23364032961706252,0.09599719845434354,0.17520546852901894,fre_strat,418.4409873485565,16000,0
0.23024721279689772,0.09338079287803841,0.16834435026502786,fre_strat,432.01135540008545,16500,0
0.22782355792535142,0.09220428484988935,0.16810936585039749,fre_strat,445.83049416542053,17000,0
0.22685409597673292,0.09103043692538362,0.1638383172983374,fre_strat,459.85312008857727,17500,0
0.2258846340281144,0.08866078413987052,0.16363054831121499,fre_strat,473.68501138687134,18000,0
0.22297624818225883,0.08660011529043421,0.16373611280171316,fre_strat,488.20704674720764,18500,0
0.22152205525933108,0.08570333534708711,0.16112650202945342,fre_strat,502.8473901748657,18574,0
