accuracy,recall,precision,strategies,time_s,labeled_train_set_size
0.6337719298245614,0.5621938589038442,0.6170707826547861,fre_strat,2.0271077156066895,500
0.6557017543859649,0.5974814284010791,0.6419974190183703,fre_strat,4.3897705078125,1000
0.7390350877192983,0.6871072485802442,0.7213189403636271,fre_strat,29.460879802703857,1500
0.7478070175438597,0.6965116151679112,0.7299224118958144,fre_strat,32.292850971221924,2000
0.7521929824561403,0.7041413003622055,0.7340393594115155,fre_strat,34.98580050468445,2500
0.7456140350877193,0.6995486965076242,0.7302797112988352,fre_strat,37.85136961936951,3000
0.7532894736842105,0.7025675766519102,0.7419210314295359,fre_strat,66.62852501869202,3500
0.7510964912280702,0.6998835353038502,0.7422464664890318,fre_strat,69.96307444572449,4000
0.756578947368421,0.7040687325791113,0.7549838412006569,fre_strat,73.45670366287231,4500
0.7598684210526315,0.7055017968668486,0.7553130534891345,fre_strat,77.45539832115173,5000
0.7598684210526315,0.7060823689427477,0.7580169414190234,fre_strat,81.36665391921997,5500
0.8048245614035088,0.7620627934534723,0.7893008098806154,fre_strat,126.30713438987732,6000
0.8037280701754386,0.7589757121137592,0.7871991132117622,fre_strat,130.42124009132385,6500
0.8004385964912281,0.754198797865522,0.7900796507031889,fre_strat,134.69531774520874,7000
0.7993421052631579,0.7485703587771468,0.7906252815480737,fre_strat,139.58661150932312,7500
0.7993421052631579,0.7481691126712277,0.7946037450375604,fre_strat,144.31507468223572,8000
0.7993421052631579,0.7481691126712277,0.7946037450375604,fre_strat,149.20931887626648,8210
