accuracy,recall,precision,strategies,time_s,labeled_train_set_size
0.6381578947368421,0.5731483149249504,0.6151347367807629,fre_strat,2.0281710624694824,500
0.6600877192982456,0.6059495110971992,0.6364949446748737,fre_strat,4.380326747894287,1000
0.7609649122807017,0.7097265073260892,0.7552819251480754,fre_strat,33.01186680793762,1500
0.7675438596491229,0.7135166189688325,0.765422722457884,fre_strat,35.42126727104187,2000
0.7708333333333334,0.716867874763374,0.7715759076152724,fre_strat,37.99380278587341,2500
0.7620614035087719,0.709265632219887,0.7504503956321839,fre_strat,40.72474479675293,3000
0.7609649122807017,0.7124897852106903,0.747344672099389,fre_strat,43.759477376937866,3500
0.7664473684210527,0.717563928512871,0.7539445173066546,fre_strat,46.92493152618408,4000
0.7664473684210527,0.7155907525823906,0.755809464644164,fre_strat,50.58532404899597,4500
0.7730263157894737,0.7198151649301674,0.7634888797624313,fre_strat,54.25132632255554,5000
0.7752192982456141,0.7163672979176915,0.771221907843071,fre_strat,58.9010124206543,5500
0.7741228070175439,0.7168253223330203,0.7687974679450138,fre_strat,62.64257788658142,6000
0.7741228070175439,0.7168253223330203,0.7744438713600785,fre_strat,67.07586908340454,6500
0.7817982456140351,0.722130585490915,0.7848832768840797,fre_strat,72.98966264724731,7000
0.7774122807017544,0.7168203379093443,0.7848423594218843,fre_strat,77.52527022361755,7500
0.7752192982456141,0.7149511790308396,0.7803988072099968,fre_strat,82.50603342056274,8000
0.7752192982456141,0.7149511790308396,0.7836499459370289,fre_strat,87.56510782241821,8210
