,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
26510,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon ligatus,,Graphium agamemnon ligatus male,Papilionidae Graphium agamemnon ligatus nan male
26868,Papilionidae,Parnasius,Parnasius smintheus,Parnasius smintheus,,Parnasius smintheus male,Papilionidae Parnasius smintheus nan nan male
26992,Nymphalidae,Junonia,Junonia cf. evarete,Junonia cf. evarete,,,Nymphalidae Junonia cf. evarete nan nan nan
28831,Nymphalidae,Junonia,Junonia oenone,Junonia oenone,,,Nymphalidae Junonia oenone nan nan nan
29058,,,,,,ERROR,nan nan nan nan nan ♀♂
29076,,,,,,ERROR,nan nan nan nan nan ♀ ♀
29123,,,,,,ERROR,nan nan nan nan nan ♂ ♂
29575,,,,,,ERROR,"nan nan nan nan nan ♀, ♂,"
29591,,,,,,ERROR,nan nan nan nan nan ♀ ♂
29595,,,,,,ERROR,nan nan nan nan nan ♀. ♂
29598,,,,,,ERROR,nan nan nan nan nan ♀ en ♂
29679,,,,,,ERROR,nan nan nan nan nan ♀ . ♂
29867,Pieridae,Delias,Delias microsticha,Delias microsticha,,,Pieridae Delias microsticha nan nan nan
29962,Pieridae,Delias,Delias sphenodiscus,Delias sphenodiscus,,,Pieridae Delias sphenodiscus nan nan nan
30004,Pieridae,Delias,Delias aruna,Delias aruna,,,Pieridae Delias aruna nan nan nan
30052,Pieridae,Delias,Delias hypomelas,Delias hypomelas,argentata,,Pieridae Delias hypomelas nan argentata nan
30132,Pieridae,Delias,Delias mavroneria,Delias mavroneria,,,Pieridae Delias mavroneria nan nan nan
30200,,,,,,ERROR,nan nan nan nan nan ♂♀
30527,,,,,,ERROR,nan nan nan nan nan ♂. ♀.
30619,Pieridae,Delias,Delias phippsi,Delias phippsi,,,Pieridae Delias phippsi nan nan nan
30788,Pieridae,Delias,Delias callista,Delias callista,,,Pieridae Delias callista nan nan nan
30904,,,,,,ERROR,nan nan nan nan nan ♀♀
31116,Pieridae,Delias,Delias mira,Delias mira,,,Pieridae Delias mira nan nan nan
31144,Pieridae,Delias,Delias leucias,Delias leucias,,,Pieridae Delias leucias nan nan nan
32091,Pieridae,Delias,Delias aroae,Delias aroae,,,Pieridae Delias aroae nan nan nan
