,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
0,,,,,,,nan nan nan nan nan nan
129,,Delias,Delias,Delias,,,nan Delias nan nan nan nan
244,Hesperiidae,Notocrypta,Notocrypta sp.,Notocrypta sp.,,,Hesperiidae Notocrypta sp. nan nan nan
278,Hesperiidae,Telicota,Telicota sp.,Telicota sp.,,,Hesperiidae Telicota sp. nan nan nan
420,Nymphalidae,,,,,,Nymphalidae nan nan nan nan nan
422,Pieridae,Appias,Appias,Appias,,,Pieridae Appias nan nan nan nan
502,Nymphalidae,Mynes,Mynes geoffroyii,Mynes geoffroyii,,,Nymphalidae Mynes geoffroyii nan nan nan
648,Pieridae,Eurema,Eurema,Eurema,,,Pieridae Eurema nan nan nan nan
835,Nymphalidae,Danaus,Danaus,Danaus,,,Nymphalidae Danaus nan nan nan nan
1082,Erebidae,,,,,,Erebidae nan nan nan nan nan
1539,Uraniidae,,,,,,Uraniidae nan nan nan nan nan
1729,Nymphalidae,,,,,ERROR,Nymphalidae nan nan nan nan @
1840,Pieridae,Delias,Delias,Delias,,,Pieridae Delias nan nan nan nan
3379,Papilionidae,Parnassius,Parnassius,Parnassius,,,Papilionidae Parnassius nan nan nan nan
4785,Nymphalidae,Vanessa,Vanessa virginiensis,Vanessa virginiensis,,,Nymphalidae Vanessa virginiensis nan nan nan
4818,Nymphalidae,Charaxes,Charaxes,Charaxes,,,Nymphalidae Charaxes nan nan nan nan
5354,Nymphalidae,Neptis,Neptis,Neptis,,,Nymphalidae Neptis nan nan nan nan
7022,,,,,,ERROR,nan nan nan nan nan B+@
7076,,,,,,ERROR,nan nan nan nan nan @
8356,Nymphalidae,Cethosia,Cethosia,Cethosia,,,Nymphalidae Cethosia nan nan nan nan
8423,Nymphalidae,Sephisa,Sephisa chandra,Sephisa chandra,,,Nymphalidae Sephisa chandra nan nan nan
8845,Papilionidae,Byasa,Byasa polyeuctes,Byasa polyeuctes letincius,,,Papilionidae Byasa polyeuctes letincius nan nan
8878,Papilionidea,Byasa,Byasa polyeuctes,Byasa polyeuctes,,,Papilionidea Byasa polyeuctes nan nan nan
9019,Nymphalidae,,,,,ERROR,Nymphalidae nan nan nan nan B
9113,Papilionidae,Papilio,Papilio polyctor,Papilio polyctor,,,Papilionidae Papilio polyctor nan nan nan
9128,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon,,,Papilionidae Graphium sarpedon nan nan nan
9163,Nymphalidae,Argynnis,Argynnis hyperbius,Argynnis hyperbius,,,Nymphalidae Argynnis hyperbius nan nan nan
9258,Papilionidae,Papilio,Papilio memnon,Papilio memnon,,,Papilionidae Papilio memnon nan nan nan
9265,Papilionidae,Parnassius,Parnassius acdestis,Parnassius acdestis,,,Papilionidae Parnassius acdestis nan nan nan
9321,Papilionidae,Graphium,Graphium nomius,Graphium nomius,,,Papilionidae Graphium nomius nan nan nan
9340,Papilionidae,Parnassius,Parnassius epaphus,Parnassius epaphus,,,Papilionidae Parnassius epaphus nan nan nan
9457,Nymphalidae,Vanessa,Vanessa cardui,Vanessa cardui,,,Nymphalidae Vanessa cardui nan nan nan
9475,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber mulciber,,Euploea mulciber mulciber male,Nymphalidae Euploea mulciber mulciber nan male
9489,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber mulciber,,Euploea mulciber mulciber female,Nymphalidae Euploea mulciber mulciber nan female
9515,Papilionidae,Papilio,Papilio protenor,Papilio protenor,,,Papilionidae Papilio protenor nan nan nan
9994,,Taenaris,Taenaris onolaus,Taenaris onolaus saturatior,,,nan Taenaris onolaus saturatior nan nan
9995,,Taenaris,Taenaris bioculatus,Taenaris bioculatus,,,nan Taenaris bioculatus nan nan nan
9996,,Taenaris,Taenaris catops,Taenaris catops,,,nan Taenaris catops nan nan nan
10000,,Taenaris,Taenaris artemis,Taenaris artemis,,,nan Taenaris artemis nan nan nan
10001,,Taenaris,Taenaris,Taenaris,,,nan Taenaris nan nan nan nan
10002,,Taenaris,Taenaris myops,Taenaris myops,,,nan Taenaris myops nan nan nan
10011,,Elymnias,Elymnias agondas,Elymnias agondas,,,nan Elymnias agondas nan nan nan
10015,,Melanitis,Melanitis amabilis,Melanitis amabilis,,,nan Melanitis amabilis nan nan nan
10017,,Melanitis,Melanitis,Melanitis,,,nan Melanitis nan nan nan nan
10020,,Lamprolenis,Lamprolenis nitida,Lamprolenis nitida,,,nan Lamprolenis nitida nan nan nan
10023,,Taenaris,Taenaris montana,Taenaris montana,,,nan Taenaris montana nan nan nan
10026,,Taenaris,Taenaris chionides,Taenaris chionides aroana,,,nan Taenaris chionides aroana nan nan
10030,,Hyantis,Hyantis,Hyantis,,,nan Hyantis nan nan nan nan
10032,,Taenaris,Taenaris onolaus,Taenaris onolaus,,,nan Taenaris onolaus nan nan nan
11117,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber mulciber,,,Nymphalidae Euploea mulciber mulciber nan nan
11171,Papilionidae,Graphium,Graphium eurous,Graphium eurous,,,Papilionidae Graphium eurous nan nan nan
11193,Papilionidae,Byasa,Byasa latreillei,Byasa latreillei,,,Papilionidae Byasa latreillei nan nan nan
11244,,,,,,ERROR,nan nan nan nan nan @
11248,,,,,,ERROR,nan nan nan nan nan B
11285,Pieridae,Colias,Colias fieldii,Colias fieldii,,Colias fieldii female,Pieridae Colias fieldii nan nan female
11308,Papilionidae,Byasa,Byasa dasarada,Byasa dasarada,,,Papilionidae Byasa dasarada nan nan nan
11371,Nymphalidae,Euthalia,Euthalia,Euthalia,,,Nymphalidae Euthalia nan nan nan nan
11509,Nymphalidae,Stibochiona,Stibochiona nicea,Stibochiona nicea,,,Nymphalidae Stibochiona nicea nan nan nan
11541,Nymphalidae,Euploea,Euploea core,Euploea core core,,,Nymphalidae Euploea core core nan nan
11619,Nymphalidae,Kallima,Kallima,Kallima,,,Nymphalidae Kallima nan nan nan nan
11792,Papilionidae,Papilio,Papilio machaon,Papilio machaon,,,Papilionidae Papilio machaon nan nan nan
11902,Papilionidae,Papilio,Papilio protenor,Papilio protenor,,Papilio protenor male,Papilionidae Papilio protenor nan nan male
12003,Papilionidae,Papilio,Papilio janaka,Papilio janaka,,,Papilionidae Papilio janaka nan nan nan
12045,Papilionidae,Papilio,Papilio helenus,Papilio helenus,,,Papilionidae Papilio helenus nan nan nan
12066,Papilionidae,Byasa,Byasa plutonius,Byasa plutonius pembertoni,,,Papilionidae Byasa plutonius pembertoni nan nan
12080,Papilionidae,Papilio,Papilio alcmenor,Papilio alcmenor,,Papilio alcmenor male,Papilionidae Papilio alcmenor nan nan male
12087,Papilionidae,Papilio,Papilio alcmenor,Papilio alcmenor,,,Papilionidae Papilio alcmenor nan nan nan
12138,Pieridae,Colias,Colias erate,Colias erate,,Colias erate male,Pieridae Colias erate nan nan male
13708,Nymphalidae,Aglais,Aglais caschmirensis,Aglais caschmirensis,,Aglais caschmirensis male,Nymphalidae Aglais caschmirensis nan nan male
14103,Papilionidae,,,,,,Papilionidae nan nan nan nan nan
14176,,,,,,ERROR,nan nan nan nan nan male
14187,Nymphalidae,Acraea,Acraea issoria,Acraea issoria,,Acraea issoria female,Nymphalidae Acraea issoria nan nan female
14491,Pieridae,Pieris,Pieris canidia,Pieris canidia,,Pieris canidia female,Pieridae Pieris canidia nan nan female
14566,Pieridae,Pieris,Pieris canidia,Pieris canidia,,Pieris canidia male,Pieridae Pieris canidia nan nan male
15259,Pieridae,Colias,Colias erate,Colias erate,,Colias erate female,Pieridae Colias erate nan nan female
15308,Hesperiidae,Choaspes,Choaspes benjaminii,Choaspes benjaminii japonica,,,Hesperiidae Choaspes benjaminii japonica nan nan
15316,Hesperiidae,Seseria,Seseria dohertyi,Seseria dohertyi dohertyi,,,Hesperiidae Seseria dohertyi dohertyi nan nan
15321,Hesperiidae,Tagiades,Tagiades litigiosa,Tagiades litigiosa litigiosa,,,Hesperiidae Tagiades litigiosa litigiosa nan nan
15326,Hesperiidae,Tagiades,Tagiades,Tagiades,,,Hesperiidae Tagiades nan nan nan nan
15328,Hesperiidae,Tagiades,Tagiades menaka,Tagiades menaka menaka,,,Hesperiidae Tagiades menaka menaka nan nan
15339,Hesperiidae,Polystremis,Polystremis,Polystremis,,,Hesperiidae Polystremis nan nan nan nan
15345,Hesperiidae,Udaspes,Udaspes folus,Udaspes folus,,,Hesperiidae Udaspes folus nan nan nan
15349,Hesperiidae,Notocrypta,Notocrypta curvifascia,Notocrypta curvifascia,,,Hesperiidae Notocrypta curvifascia nan nan nan
15353,Hesperiidae,Darpa,Darpa hanria,Darpa hanria,,,Hesperiidae Darpa hanria nan nan nan
15355,Hesperiidae,Pyrgus,Pyrgus,Pyrgus,,,Hesperiidae Pyrgus nan nan nan nan
15405,Hesperiidae,Pelopidas,Pelopidas sinensis,Pelopidas sinensis,,,Hesperiidae Pelopidas sinensis nan nan nan
15777,Hesperiidae,Ochlodes,Ochlodes brahma,Ochlodes brahma,,,Hesperiidae Ochlodes brahma nan nan nan
15782,Hesperiidae,Pedesta,Pedesta masuriensis,Pedesta masuriensis,,,Hesperiidae Pedesta masuriensis nan nan nan
15784,Hesperiidae,Pedesta,Pedesta masuriensis,Pedesta masuriensis masuriensis,,,Hesperiidae Pedesta masuriensis masuriensis nan nan
16301,Nymphalidae,Argyreus,Argyreus hyperbius,Argyreus hyperbius,,,Nymphalidae Argyreus hyperbius nan nan nan
16667,Lycaenidae,Ancema,Ancema ctesia,Ancema ctesia ctesia,,,Lycaenidae Ancema ctesia ctesia nan nan
16790,Hesperiidae,,,,,,Hesperiidae nan nan nan nan nan
16798,Hesperiidae,Ochus,Ochus subvittatus,Ochus subvittatus subvittatus,,,Hesperiidae Ochus subvittatus subvittatus nan nan
16863,Hesperiidae,Lobocla,Lobocla liliana,Lobocla liliana,,,Hesperiidae Lobocla liliana nan nan nan
16865,Hesperiidae,Notocrypta,Notocrypta curvifascia,Notocrypta curvifascia curvifascia,,,Hesperiidae Notocrypta curvifascia curvifascia nan nan
16873,Hesperiidae,Celaenorrhinus,Celaenorrhinus munda,Celaenorrhinus munda,,,Hesperiidae Celaenorrhinus munda nan nan nan
17323,Lycaenidae,Arhopala,Arhopala pseudocentaurus,Arhopala pseudocentaurus,,,Lycaenidae Arhopala pseudocentaurus nan nan nan
17488,Lycaenidae,Deudorix,Deudorix epijarbas,Deudorix epijarbas,,,Lycaenidae Deudorix epijarbas nan nan nan
18024,Papilionidae,Papilio,Papilio jordani,Papilio jordani,,Papilio jordani male,Papilionidae Papilio jordani nan nan male
21386,,,,,,ERROR,nan nan nan nan nan B or @
28578,,TAENARIS,TAENARIS myops,TAENARIS myops misolensis,,,nan TAENARIS myops misolensis nan nan
30155,,,,,,ERROR,nan nan nan nan nan B@
31713,Papilionidae,Zerynthia,Zerynthia rumina,Zerynthia rumina australis,,,Papilionidae Zerynthia rumina australis nan nan
31802,Papilionidae,Parnassius,Parnassius,Parnassius,,Parnassius B,Papilionidae Parnassius nan nan nan B
32056,Papilionidae,Zerynthia,Zerynthia polyxena,Zerynthia polyxena cassandra,,,Papilionidae Zerynthia polyxena cassandra nan nan
32193,Lycaenidae,Tomares,Tomares ballus,Tomares ballus,,,Lycaenidae Tomares ballus nan nan nan
32196,Pieridae,Anthocharis,Anthocharis euphenoides,Anthocharis euphenoides,,,Pieridae Anthocharis euphenoides nan nan nan
32871,Papilionidae,Papilio,Papilio alexanor,Papilio alexanor alexanor,,Papilio alexanor alexanor female,Papilionidae Papilio alexanor alexanor nan female
40230,Mymaridae,Indet.,Indet.,Indet.,,,Mymaridae Indet. nan nan nan nan
42188,Pieridae,Delias,Delias hyparete,Delias hyparete,,,Pieridae Delias hyparete nan nan nan
42308,Papilionidae,Eurytides,Eurytides telesilaus,Eurytides telesilaus,,,Papilionidae Eurytides telesilaus nan nan nan
44699,Erebidae,Buzara,Buzara feneratrix,Buzara feneratrix,,,Erebidae Buzara feneratrix nan nan nan
44707,Erebidae,Baroa,Baroa siamica,Baroa siamica javanica,,,Erebidae Baroa siamica javanica nan nan
44740,Erebidae,Lacera,Lacera alope,Lacera alope,,,Erebidae Lacera alope nan nan nan
44785,Noctuidae,Phlogophora,Phlogophora albifrons,Phlogophora albifrons,,,Noctuidae Phlogophora albifrons nan nan nan
44828,Erebidae,Lemyra,Lemyra maculifascia,Lemyra maculifascia,,,Erebidae Lemyra maculifascia nan nan nan
44844,Noctuidae,Mythimna,Mythimna decisissima,Mythimna decisissima,,,Noctuidae Mythimna decisissima nan nan nan
44861,Erebidae,Nyctemera,Nyctemera scalarium,Nyctemera scalarium,,,Erebidae Nyctemera scalarium nan nan nan
49574,Nymphalidae,Erebia,Erebia,Erebia,,,Nymphalidae Erebia nan nan nan nan
49575,Lycaenidae,Maculinea,Maculinea arion,Maculinea arion,,Maculinea arion male,Lycaenidae Maculinea arion nan nan male
51211,Pieridae,Colotis,Colotis euippe,Colotis euippe,,,Pieridae Colotis euippe nan nan nan
51212,Nymphalidae,Acraea,Acraea elongata,Acraea elongata,,,Nymphalidae Acraea elongata nan nan nan
51213,Lycaenidae,Zizeeria,Zizeeria knysna,Zizeeria knysna,,,Lycaenidae Zizeeria knysna nan nan nan
52492,Papilionidae,Parnassius,Parnassius apollo,Parnassius apollo,,,Papilionidae Parnassius apollo nan nan nan
53408,Lycaenidae,,,,,,Lycaenidae nan nan nan nan nan
55110,HesperiidaeNymphalidae,Charaxes,Charaxes,Charaxes,,,HesperiidaeNymphalidae Charaxes nan nan nan nan
59806,Riodinidae,,,,,,Riodinidae nan nan nan nan nan
60180,Formicidae,Camponotus,Camponotus lindigi,Camponotus lindigi,,,Formicidae Camponotus lindigi nan nan nan
61263,Sphingidae,,,,,,Sphingidae nan nan nan nan nan
61631,Sphingidae,,,,,ERROR,Sphingidae nan nan nan nan B
0,Papilionidae,Graphium,Graphium aristeus,Graphium aristeus parmatus,,Graphium aristeus parmatus male,Papilionidae Graphium aristeus parmatus nan male
443,,Ideopsis,Ideopsis vulgaris,Ideopsis vulgaris,,,nan Ideopsis vulgaris nan nan nan
444,,Euploea,Euploea diocletianus,Euploea diocletianus,,,nan Euploea diocletianus nan nan nan
445,,Euploea,Euploea mulciber,Euploea mulciber,,Euploea mulciber male,nan Euploea mulciber nan nan male
446,,Parantica,Parantica aspasia,Parantica aspasia,,,nan Parantica aspasia nan nan nan
448,,Euploea,Euploea mulciber,Euploea mulciber,,Euploea mulciber female,nan Euploea mulciber nan nan female
449,,Papilio,Papilio demolion,Papilio demolion demolion,,Papilio demolion demolion male,nan Papilio demolion demolion nan male
450,,Troides,Troides helena,Troides helena helena,,Troides helena helena male,nan Troides helena helena nan male
451,,Papilio,Papilio peranthus,Papilio peranthus peranthus,,Papilio peranthus peranthus male,nan Papilio peranthus peranthus nan male
458,,Papilio,Papilio helenus,Papilio helenus enganius,,Papilio helenus enganius male,nan Papilio helenus enganius nan male
462,,Papilio,Papilio karna,Papilio karna karna,,Papilio karna karna male,nan Papilio karna karna nan male
463,,Papilio,Papilio paris,Papilio paris gedeensis,,Papilio paris gedeensis male,nan Papilio paris gedeensis nan male
465,,Euploea,Euploea,Euploea,,,nan Euploea nan nan nan nan
470,,Papilio,Papilio nephelus,Papilio nephelus nephelus,,Papilio nephelus nephelus male,nan Papilio nephelus nephelus nan male
481,,Acraea,Acraea vesta,Acraea vesta,,,nan Acraea vesta nan nan nan
490,Nymphalidae,Danaus,Danaus genutia,Danaus genutia,,,Nymphalidae Danaus genutia nan nan nan
492,Nymphalidae,Euploea,Euploea,Euploea,,,Nymphalidae Euploea nan nan nan nan
493,Nymphalidae,Parantica,Parantica aspasia,Parantica aspasia aspasia,,,Nymphalidae Parantica aspasia aspasia nan nan
497,Papilionidae,Papilio,Papilio peranthus,Papilio peranthus peranthus,,Papilio peranthus peranthus male,Papilionidae Papilio peranthus peranthus nan male
499,Papilionidae,Papilio,Papilio helenus,Papilio helenus enganius,,Papilio helenus enganius male,Papilionidae Papilio helenus enganius nan male
502,Papilionidae,Papilio,Papilio demolion,Papilio demolion demolion,,Papilio demolion demolion male,Papilionidae Papilio demolion demolion nan male
511,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus,,,Nymphalidae Danaus chrysippus nan nan nan
518,Nymphalidae,Ideopsis,Ideopsis vulgaris,Ideopsis vulgaris,,,Nymphalidae Ideopsis vulgaris nan nan nan
527,Papilionidae,Papilio,Papilio nephelus,Papilio nephelus nephelus,,Papilio nephelus nephelus male,Papilionidae Papilio nephelus nephelus nan male
531,Papilionidae,Graphium,Graphium bathycles,Graphium bathycles bathycles,,Graphium bathycles bathycles male,Papilionidae Graphium bathycles bathycles nan male
532,Papilionidae,Graphium,Graphium antiphates,Graphium antiphates javanicus,,Graphium antiphates javanicus male,Papilionidae Graphium antiphates javanicus nan male
535,Nymphalidae,Idea,Idea lynceus,Idea lynceus,,,Nymphalidae Idea lynceus nan nan nan
541,,Idea,Idea lynceus,Idea lynceus,,,nan Idea lynceus nan nan nan
547,,Danaus,Danaus genutia,Danaus genutia,,,nan Danaus genutia nan nan nan
555,,Parantica,Parantica melaneus,Parantica melaneus,,,nan Parantica melaneus nan nan nan
559,Pieridae,Delias-group?,,,,,Pieridae Delias-group? nan nan nan nan
561,Pieridae,,,,,,Pieridae nan nan nan nan nan
563,Nymphalidae,?Cyrestis,,,,,Nymphalidae ?Cyrestis nan nan nan nan
566,Nymphalidae,Delias-group?,,,,,Nymphalidae Delias-group? nan nan nan nan
575,Papilionidae,Papilio,Papilio,Papilio,,,Papilionidae Papilio nan nan nan nan
584,Nymphalidae,Polyura,Polyura,Polyura,,,Nymphalidae Polyura nan nan nan nan
590,Nymphalidae,?Lethe,,,,,Nymphalidae ?Lethe nan nan nan nan
593,Nymphalidae,Cyrestis,Cyrestis,Cyrestis,,,Nymphalidae Cyrestis nan nan nan nan
599,Pieridae,Cepora,Cepora,Cepora,,,Pieridae Cepora nan nan nan nan
600,Lycaenidae,,,,,ERROR,Lycaenidae nan nan nan nan male
601,Nymphalidae,Cyrestis,Cyrestis lutea,Cyrestis lutea,,,Nymphalidae Cyrestis lutea nan nan nan
615,Riodinidae,Zemeros,Zemeros flegyas,Zemeros flegyas,,,Riodinidae Zemeros flegyas nan nan nan
616,Nymphalidae,Parantica,Parantica aspasia,Parantica aspasia,,,Nymphalidae Parantica aspasia nan nan nan
622,Nymphalidae,Stibochiona,Stibochiona coresia,Stibochiona coresia,,Stibochiona coresia female,Nymphalidae Stibochiona coresia nan nan female
624,Pieridae,Catopsilia,Catopsilia crocale,Catopsilia crocale,,,Pieridae Catopsilia crocale nan nan nan
629,Nymphalidae,Parantica,Parantica melaneus,Parantica melaneus,,,Nymphalidae Parantica melaneus nan nan nan
630,Nymphalidae,Lethe,Lethe confusa,Lethe confusa,,,Nymphalidae Lethe confusa nan nan nan
647,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber,,Euploea mulciber male,Nymphalidae Euploea mulciber nan nan male
649,Nymphalidae,Hypolimnas,Hypolimnas bolina,Hypolimnas bolina,,Hypolimnas bolina female,Nymphalidae Hypolimnas bolina nan nan female
650,Nymphalidae,Elymnias,Elymnias,Elymnias,,,Nymphalidae Elymnias nan nan nan nan
663,Pieridae,Catopsilia,Catopsilia,Catopsilia,,,Pieridae Catopsilia nan nan nan nan
667,Papilionidae,Atrophaneura,Atrophaneura coon,Atrophaneura coon coon,,Atrophaneura coon coon male,Papilionidae Atrophaneura coon coon nan male
679,Nymphalidae,Kallima,Kallima paralekta,Kallima paralekta,,,Nymphalidae Kallima paralekta nan nan nan
687,Pieridae,Delias,Delias hyparete,Delias hyparete,,Delias hyparete male,Pieridae Delias hyparete nan nan male
693,Nymphalidae,Mycalesis,Mycalesis janardana,Mycalesis janardana,,,Nymphalidae Mycalesis janardana nan nan nan
701,Nymphalidae,Ragadia,Ragadia crisia,Ragadia crisia,,,Nymphalidae Ragadia crisia nan nan nan
703,Nymphalidae,Vagrans,Vagrans,Vagrans,,,Nymphalidae Vagrans nan nan nan nan
711,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber,,Euploea mulciber female,Nymphalidae Euploea mulciber nan nan female
717,Papilionidae,Troides,Troides helena,Troides helena helena,,Troides helena helena male,Papilionidae Troides helena helena nan male
720,Erebidae,Utetheisa,Utetheisa,Utetheisa,,,Erebidae Utetheisa nan nan nan nan
727,Nymphalidae,Acraea,Acraea vesta,Acraea vesta,,,Nymphalidae Acraea vesta nan nan nan
746,Papilionidae,Atrophaneura,Atrophaneura coon,Atrophaneura coon coon,,Atrophaneura coon coon female,Papilionidae Atrophaneura coon coon nan female
747,Nymphalidae,Euploea,Euploea rhadamanthus (= diocletianus),Euploea rhadamanthus (= diocletianus),,,Nymphalidae Euploea rhadamanthus (= diocletianus) nan nan nan
759,Pieridae,Delias,Delias belisama,Delias belisama,,,Pieridae Delias belisama nan nan nan
778,Nymphalidae,Hypolimnas,Hypolimnas bolina,Hypolimnas bolina,,,Nymphalidae Hypolimnas bolina nan nan nan
791,Nymphalidae,Junonia,Junonia hedonia,Junonia hedonia,,,Nymphalidae Junonia hedonia nan nan nan
805,Papilionidae,Atrophaneura,Atrophaneura nox,Atrophaneura nox nox,,Atrophaneura nox nox female,Papilionidae Atrophaneura nox nox nan female
840,Nymphalidae,Stibochiona,Stibochiona coresia,Stibochiona coresia,,,Nymphalidae Stibochiona coresia nan nan nan
853,Nymphalidae,Yphtima,Yphtima,Yphtima,,,Nymphalidae Yphtima nan nan nan nan
854,Nymphalidae,Erites,Erites,Erites,,,Nymphalidae Erites nan nan nan nan
878,Nymphalidae,Elymnias,Elymnias,Elymnias,,Elymnias male,Nymphalidae Elymnias nan nan nan male
936,Nymphalidae,Lethe,Lethe,Lethe,,,Nymphalidae Lethe nan nan nan nan
941,Nymphalidae,Erites,Erites,Erites,,Erites male,Nymphalidae Erites nan nan nan male
947,Papilionidae,Papilio,Papilio nephelus,Papilio nephelus nephelus,,Papilio nephelus nephelus female,Papilionidae Papilio nephelus nephelus nan female
953,Nymphalidae,Mycalesis,Mycalesis,Mycalesis,,,Nymphalidae Mycalesis nan nan nan nan
1036,Papilionidae,Papilio,Papilio karna,Papilio karna karna,,Papilio karna karna male,Papilionidae Papilio karna karna nan male
1044,Nymphalidae,Amathusia,Amathusia phidippus,Amathusia phidippus,,,Nymphalidae Amathusia phidippus nan nan nan
1090,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon lycianus,,Graphium sarpedon lycianus male,Papilionidae Graphium sarpedon lycianus nan male
1092,Papilionidae,Papilio,Papilio polytes,Papilio polytes javanus,,Papilio polytes javanus male,Papilionidae Papilio polytes javanus nan male
1102,Papilionidae,Papilio,Papilio memnon,Papilio memnon memnon,,Papilio memnon memnon male,Papilionidae Papilio memnon memnon nan male
1104,Papilionidae,Pachliopta,Pachliopta adamas,Pachliopta adamas adamas,,Pachliopta adamas adamas male,Papilionidae Pachliopta adamas adamas nan male
1105,Papilionidae,Papilio,Papilio memnon,Papilio memnon memnon,,Papilio memnon memnon female,Papilionidae Papilio memnon memnon nan female
1116,Papilionidae,Papilio,Papilio polytes,Papilio polytes javanus,,Papilio polytes javanus female,Papilionidae Papilio polytes javanus nan female
1122,Papilionidae,Papilio,Papilio demolion,Papilio demolion demolion,,Papilio demolion demolion female,Papilionidae Papilio demolion demolion nan female
1123,Papilionidae,Papilio,Papilio peranthus,Papilio peranthus peranthus,,Papilio peranthus peranthus female,Papilionidae Papilio peranthus peranthus nan female
1132,,Vindula,Vindula arsinoe,Vindula arsinoe,,,nan Vindula arsinoe nan nan nan
1135,,Cyrestis,Cyrestis lutea,Cyrestis lutea,,,nan Cyrestis lutea nan nan nan
1142,,Danaus,Danaus chrysippus,Danaus chrysippus,,,nan Danaus chrysippus nan nan nan
1147,,Appias,Appias (indra)leptis,Appias (indra)leptis,,,nan Appias (indra)leptis nan nan nan
1149,,Appias,Appias nero,Appias nero,,,nan Appias nero nan nan nan
1159,,Appias,Appias indra (lucasi),Appias indra (lucasi),,,nan Appias indra (lucasi) nan nan nan
1168,,Parantica,Parantica,Parantica,,,nan Parantica nan nan nan nan
1172,,Cepora,Cepora iudith,Cepora iudith,,,nan Cepora iudith nan nan nan
1179,,Zemeros,Zemeros flegyas,Zemeros flegyas,,,nan Zemeros flegyas nan nan nan
1181,,Neorina,Neorina crishna,Neorina crishna,,,nan Neorina crishna nan nan nan
1183,,Ragadia,Ragadia crisia,Ragadia crisia,,,nan Ragadia crisia nan nan nan
1188,,Ideopsis,Ideopsis juventa,Ideopsis juventa,,,nan Ideopsis juventa nan nan nan
1194,Papilionidae,Graphium,Graphium macareus,Graphium macareus macareus,,Graphium macareus macareus male,Papilionidae Graphium macareus macareus nan male
1196,Papilionidae,Papilio,Papilio paris,Papilio paris gedeensis,,Papilio paris gedeensis male,Papilionidae Papilio paris gedeensis nan male
1233,Papilionidae,Lamproptera,Lamproptera curius,Lamproptera curius curius,,Lamproptera curius curius male,Papilionidae Lamproptera curius curius nan male
1234,Papilionidae,Graphium,Graphium evemon,Graphium evemon evemon,,Graphium evemon evemon male,Papilionidae Graphium evemon evemon nan male
1236,Papilionidae,Graphium,Graphium cf. evemon,Graphium cf. evemon,,Graphium cf. evemon male,Papilionidae Graphium cf. evemon nan nan male
1309,Papilionidae,Graphium,Graphium doson,Graphium doson vulso,,Graphium doson vulso male,Papilionidae Graphium doson vulso nan male
1313,,Graphium,Graphium macareus,Graphium macareus macareus,,Graphium macareus macareus male,nan Graphium macareus macareus nan male
1317,,Graphium,Graphium evemon,Graphium evemon evemon,,Graphium evemon evemon male,nan Graphium evemon evemon nan male
1327,,Papilio,Papilio polytes,Papilio polytes javanus,,Papilio polytes javanus male,nan Papilio polytes javanus nan male
1333,,Papilio,Papilio memnon,Papilio memnon memnon,,Papilio memnon memnon female,nan Papilio memnon memnon nan female
1336,,Graphium,Graphium sarpedon,Graphium sarpedon lycianus,,Graphium sarpedon lycianus male,nan Graphium sarpedon lycianus nan male
1337,,Graphium,Graphium antiphates,Graphium antiphates javanicus,,Graphium antiphates javanicus male,nan Graphium antiphates javanicus nan male
1342,,Graphium,Graphium doson,Graphium doson vulso,,Graphium doson vulso male,nan Graphium doson vulso nan male
1349,,Graphium,Graphium agamemnon,Graphium agamemnon agamemnon,,Graphium agamemnon agamemnon male,nan Graphium agamemnon agamemnon nan male
1359,,Papilio,Papilio memnon,Papilio memnon memnon,,Papilio memnon memnon male,nan Papilio memnon memnon nan male
1365,,Papilio,Papilio helenus,Papilio helenus enganius,,Papilio helenus enganius female,nan Papilio helenus enganius nan female
1375,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon lycianus,,Graphium sarpedon lycianus female,Papilionidae Graphium sarpedon lycianus nan female
1377,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon agamemnon,,Graphium agamemnon agamemnon male,Papilionidae Graphium agamemnon agamemnon nan male
1520,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus daton,,Graphium eurypylus daton male,Papilionidae Graphium eurypylus daton nan male
1535,Papilionidae,Pachliopta,Pachliopta adamas,Pachliopta adamas adamas,,Pachliopta adamas adamas female,Papilionidae Pachliopta adamas adamas nan female
1557,,Papilio,Papilio polytes,Papilio polytes javanus,,Papilio polytes javanus female,nan Papilio polytes javanus nan female
1563,,Atrophaneura,Atrophaneura coon,Atrophaneura coon coon,,Atrophaneura coon coon male,nan Atrophaneura coon coon nan male
1564,,Troides,Troides,Troides,,Troides male,nan Troides nan nan nan male
1567,,Atrophaneura,Atrophaneura coon,Atrophaneura coon coon,,Atrophaneura coon coon female,nan Atrophaneura coon coon nan female
