,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
123,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma nefte,Athyma nefte,Athyma nefte male,Lepidoptera Butterfly Nymphalidae Athyma nefte nan male
127,Lepidoptera,Butterfly,Nymphalidae,Tarattia,Tarattia bruijni,Tarattia bruijni,Tarattia bruijni male,Lepidoptera Butterfly Nymphalidae Tarattia bruijni nan male
128,Lepidoptera,Butterfly,Nymphalidae,Tarattia,Tarattia bruijni,Tarattia bruijni,Tarattia bruijni female,Lepidoptera Butterfly Nymphalidae Tarattia bruijni nan female
130,Lepidoptera,Butterfly,Nymphalidae,Auzakia,Auzakia danava,Auzakia danava albomarginata,Auzakia danava albomarginata male,Lepidoptera Butterfly Nymphalidae Auzakia danava albomarginata male
131,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura decorata,Dicallaneura decorata sangha,,Lepidoptera Butterfly Lycaenidae Dicallaneura decorata sangha nan
132,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura decorata,Dicallaneura decorata sangha,Dicallaneura decorata sangha female,Lepidoptera Butterfly Lycaenidae Dicallaneura decorata sangha female
133,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura decorata,Dicallaneura decorata kausambides,,Lepidoptera Butterfly Lycaenidae Dicallaneura decorata kausambides nan
134,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura ribbei,Dicallaneura ribbei cyanandra,Dicallaneura ribbei cyanandra male,Lepidoptera Butterfly Lycaenidae Dicallaneura ribbei cyanandra male
135,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila segecia,Praetaxila segecia,,Lepidoptera Butterfly Lycaenidae Praetaxila segecia nan nan
136,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila segecia,Praetaxila segecia,Praetaxila segecia female,Lepidoptera Butterfly Lycaenidae Praetaxila segecia nan female
138,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio helenus,Papilio helenus enganius,,Lepidoptera Butterfly Papilionidae Papilio helenus enganius nan
139,Lepidoptera,Butterfly,Nymphalidae,Junonia,Junonia villida,Junonia villida,Junonia villida male,Lepidoptera Butterfly Nymphalidae Junonia villida nan male
140,Lepidoptera,Butterfly,Papilionidae,Pachliopta,Pachliopta adamas,Pachliopta adamas probus,,Lepidoptera Butterfly Papilionidae Pachliopta adamas probus nan
141,Lepidoptera,Butterfly,Papilionidae,Pachliopta,Pachliopta adamas,Pachliopta adamas probus,Pachliopta adamas probus female,Lepidoptera Butterfly Papilionidae Pachliopta adamas probus female
142,Lepidoptera,Butterfly,Papilionidae,Pachliopta,Pachliopta antiphus,Pachliopta antiphus antiphus,,Lepidoptera Butterfly Papilionidae Pachliopta antiphus antiphus nan
143,Lepidoptera,Butterfly,Papilionidae,Pachliopta,Pachliopta antiphus,Pachliopta antiphus antiphus,Pachliopta antiphus antiphus male,Lepidoptera Butterfly Papilionidae Pachliopta antiphus antiphus male
150,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera priamus,Ornithoptera priamus teucrus,Ornithoptera priamus teucrus female,Lepidoptera Butterfly Papilionidae Ornithoptera priamus teucrus female
152,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera priamus,Ornithoptera priamus teucrus,Ornithoptera priamus teucrus male,Lepidoptera Butterfly Papilionidae Ornithoptera priamus teucrus male
155,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia harterti,,Lepidoptera Butterfly Nymphalidae Cyrestis acilia harterti nan
