url,status_code
"https://medialib.naturalis.nl/file/id/ZMA.INS.1251738_2/format/large",404
"https://medialib.naturalis.nl/file/id/ZMA.INS.1251739_2/format/large",404
"https://medialib.naturalis.nl/file/id/ZMA.INS.1251740_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320133_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320134_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320135_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320136_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320137_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320138_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320140_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320141_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320142_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320143_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320144_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320145_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320146_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320147_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320148_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320149_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320150_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320151_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320152_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320153_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320154_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320155_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320156_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320157_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320158_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320159_2/format/large",404
"https://medialib.naturalis.nl/file/id/RMNH.INS.320160_2/format/large",404
"https://medialib.naturalis.nl/file/id/ZMA.INS.5111129_2/format/large",429
"https://medialib.naturalis.nl/file/id/ZMA.INS.5113801_2/format/large",404
